"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","p_val_fdr"
"81","mmu-miR-29b-1-5p",27.4659001892794,-0.833574192067245,0.241157948346826,-3.4565486967422,0.000547140338752868,0.00411368476914194,0.00420149741610227
"82","mmu-miR-106b-5p",2179.44638612361,0.67721845726424,0.197726342585759,3.42502899921144,0.000614733801274052,0.00456552298751095,0.00466298078527391
"83","mmu-miR-378b",6501.24087903467,1.46564605108905,0.428941618619918,3.4168893561894,0.000633410168668122,0.00464755171950465,0.00474676054110327
"84","mmu-miR-133b-3p",17883.0968254884,1.20131527457012,0.352093137582365,3.41192470497694,0.000645059283915165,0.00467667980838495,0.00477651041184801
"85","mmu-miR-99a-5p",126859.717593937,-0.682103579857258,0.200533774301757,-3.40143989326631,0.00067031867640451,0.00480263616388643,0.00490515549086594
"86","mmu-miR-874-3p",381.90582815873,0.500009545617341,0.148095216807466,3.37627072903637,0.0007347558104545,0.00520309637868361,0.00531416411747324
"87","mmu-miR-470-5p",20.1229537889219,1.38855083553783,0.413207189358934,3.3604227402047,0.000778232935239688,0.005435187100443,0.0055512091567743
"88","mmu-miR-615-3p",23.7160882739543,-2.20386493738279,0.656323064393892,-3.35789652526997,0.000785380073627232,0.005435187100443,0.0055512091567743
"89","mmu-miR-18a-5p",304.074463917868,1.06761752591097,0.319669516316716,3.33975393779249,0.000838526500168023,0.00573778245620591,0.00586026385510686
"90","mmu-let-7e-3p",259.197584321958,-0.500160677761346,0.151181063084894,-3.3083553426297,0.000938456526451314,0.00635022249565389,0.00648577732725242
"91","mmu-miR-125b-2-3p",12678.1374234351,-0.443033087696469,0.134197135409365,-3.30136024397993,0.000962172560211589,0.00636916401270497,0.00650512317882183
"92","mmu-miR-338-5p",162.599453894099,0.845098975461151,0.25584135131886,3.30321494592127,0.000955830918558343,0.00636916401270497,0.00650512317882183
"93","mmu-miR-592-5p",12.7694108622978,1.11737621947706,0.341490543092333,3.27205611423021,0.00106768382773572,0.00699160700097907,0.00714085312743675
"94","mmu-miR-147-3p",366.448681673158,1.39315446575198,0.429469682025397,3.243894794114,0.00117907287149233,0.0076388870078599,0.00780195027732161
"95","mmu-miR-451a",25140.3933423333,0.651065491882889,0.201779407578395,3.22662009813831,0.00125261651592111,0.00802993113890481,0.00820134182003086
"96","mmu-miR-881-3p",10.1847087729869,1.47730591644124,0.459855765201645,3.21254190603319,0.00131565953236131,0.00834621515841709,0.00852437738675768
"97","mmu-miR-5100",14.4277529209508,1.19089186225557,0.371720733812145,3.20372729829324,0.00135660906966421,0.00851726725180932,0.00869908083846535
"98","mmu-miR-1981-3p",259.815402670483,-0.404074859852969,0.126328371758058,-3.19860736135227,0.00138093103858554,0.00858150002549588,0.00876468475510417
"99","mmu-miR-582-3p",1838.12069625506,-1.43780254797281,0.45139397395879,-3.18524976167287,0.0014462912543269,0.00884672906385378,0.00903557549707234
"100","mmu-miR-668-3p",93.2451646339221,-0.948274593136474,0.297827073900285,-3.18397713383829,0.00145266487091195,0.00884672906385378,0.00903557549707234
"101","mmu-miR-497a-5p",13254.3523874378,-0.667671977580092,0.210231514465812,-3.17588911099564,0.00149378039383274,0.00900705207766471,0.00919932084122734
"102","mmu-miR-107-3p",9258.83765279653,0.880016217041927,0.277515703924746,3.17105015895087,0.00151888913883317,0.00906866162303337,0.00926224553288465
"103","mmu-miR-130b-3p",750.141829192358,0.770956249936982,0.2461136399073,3.1325214247669,0.00173311778072353,0.0102472692083556,0.0104660122292236
"104","mmu-miR-669o-5p",21.3592051688678,0.898329202249652,0.287470309844252,3.12494602568298,0.00177837687435898,0.0104137645815829,0.0106360616908778
"105","mmu-miR-9-3p",70.919732124854,0.888223863272923,0.285221990468967,3.11414930459075,0.00184476113589666,0.0106996145882006,0.0109280135859783
"106","mmu-miR-322-5p",18526.9042496659,0.469380320012133,0.150915017410561,3.11022937323191,0.00186942113323603,0.0107403534918938,0.0109696221214416
"107","mmu-miR-467a-5p",1266.20016836264,0.763070295781231,0.246550480234468,3.0949860452738,0.0019682215711367,0.0110256007548169,0.0112609584063975
"108","mmu-miR-467b-5p",1266.20016836264,0.763070295781231,0.246550480234468,3.0949860452738,0.0019682215711367,0.0110256007548169,0.0112609584063975
"109","mmu-miR-467e-5p",52.9690920523155,0.81988361772997,0.26497356397674,3.09420911816676,0.00197338338633011,0.0110256007548169,0.0112609584063975
"110","mmu-miR-450a-5p",6066.66855411855,0.5748347948812,0.186809213725485,3.07712228651589,0.00209009537435676,0.0115715280271206,0.0118185392986355
"111","mmu-miR-378c",154011.331243501,1.2890421311806,0.421166931050816,3.06064421526263,0.00220861368157401,0.0119030595759166,0.0121571478755667
"112","mmu-miR-741-3p",16.5550519423709,1.56678442846915,0.51115251779243,3.06519947360484,0.00217524865290267,0.0119030595759166,0.0121571478755667
"113","mmu-miR-9-5p",2130.73083363327,0.745712293972654,0.243546406940188,3.06188994262516,0.00219944305154312,0.0119030595759166,0.0121571478755667
"114","mmu-miR-92b-3p",709.20887228432,-1.2471374228902,0.408390370064975,-3.05378753835889,0.00225972054111416,0.012071664995952,0.012329352426079
"115","mmu-miR-340-5p",11030.9425834943,0.664570933814504,0.219329603894336,3.0300101856504,0.0024454549135714,0.0129502786292607,0.013226721358621
"116","mmu-miR-140-3p",56104.4675078702,-1.08263218545021,0.358486214854219,-3.02001064640791,0.00252765800349249,0.0132702045183356,0.0135534765359683
"117","mmu-miR-132-3p",1996.77632623289,0.72731032429863,0.241497788070358,3.01166453784138,0.00259819551321327,0.0134973782764399,0.013785499651799
"118","mmu-miR-199b-5p",3278.29772288725,-1.08125282582975,0.359258747001621,-3.00967710557892,0.00261525556095222,0.0134973782764399,0.013785499651799
"119","mmu-miR-339-5p",1299.1887563087,0.478586167627543,0.159327930358293,3.00378073418333,0.0026664741902375,0.0136460737970978,0.0139373692968716
"120","mmu-let-7d-5p",41161.6433959372,-0.494675576058294,0.166466451041076,-2.97162324879643,0.00296229948754054,0.0148149085093064,0.015131154503758
"121","mmu-miR-130b-5p",125.938096181454,0.682569827318017,0.229920950446806,2.96871523013269,0.00299047592294405,0.0148149085093064,0.015131154503758
"122","mmu-miR-192-5p",46213.1327931591,0.632929614904322,0.212918361627912,2.97263988913463,0.00295250632309418,0.0148149085093064,0.015131154503758
"123","mmu-miR-7a-5p",134.555558741732,0.768658772417637,0.258934884488011,2.96854081263518,0.00299217363981066,0.0148149085093064,0.015131154503758
