"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","p_val_fdr"
"90","mmu-miR-341-3p",757.51692365864,-3.18645725173257,0.529313481760049,-6.01998128053928,1.74437243078911e-09,1.20943155201378e-08,1.20943155201378e-08
"91","mmu-miR-128-1-5p",111.654024786655,1.03805681274227,0.172790717860793,6.00759592641178,1.88294403740922e-09,1.29116162565204e-08,1.29116162565204e-08
"92","mmu-miR-136-3p",5780.68555508902,-1.95675681348327,0.325986103825029,-6.00257738143816,1.94209651419868e-09,1.30308411275267e-08,1.30308411275267e-08
"93","mmu-miR-21b",132.255263256314,-2.5730518462439,0.428542848374693,-6.00418804327863,1.92291740830096e-09,1.30308411275267e-08,1.30308411275267e-08
"94","mmu-miR-690",135.126833248844,-2.92403475198096,0.488869536254525,-5.9812169405839,2.21476665362986e-09,1.47022807645216e-08,1.47022807645216e-08
"95","mmu-miR-874-5p",131.697936918347,1.26287826166,0.2113811212819,5.97441367517308,2.30919168924197e-09,1.51677433061788e-08,1.51677433061788e-08
"96","mmu-miR-3572-3p",13.2737230499977,1.46059650238739,0.245527196586855,5.94881757577802,2.70086446017259e-09,1.74574805738125e-08,1.74574805738125e-08
"97","mmu-miR-5121",377.283069171227,-4.94022136477421,0.830563071497311,-5.94803878755185,2.71374297381381e-09,1.74574805738125e-08,1.74574805738125e-08
"98","mmu-miR-6929-3p",8.72701126795544,2.08607660908575,0.352157305012504,5.92370676227116,3.1476452907722e-09,2.00421496065495e-08,2.00421496065495e-08
"99","mmu-miR-21c",118.099590020442,-2.53914693038524,0.429333352518885,-5.91416184064935,3.33569781123501e-09,2.10250043859661e-08,2.10250043859661e-08
"100","mmu-miR-382-5p",120.513858793815,-2.58611999380909,0.439754826590802,-5.88082230696131,4.08233240997216e-09,2.54737542382263e-08,2.54737542382263e-08
"101","mmu-miR-465c-5p",14.3592673603695,2.25951984722689,0.385239675161673,5.86523142061792,4.48506707158217e-09,2.77097213135374e-08,2.77097213135374e-08
"102","mmu-miR-425-5p",5331.46367913755,-0.363719848312185,0.0620446977988461,-5.86222290084148,4.56711365329530e-09,2.79399894083947e-08,2.79399894083947e-08
"103","mmu-miR-3058-3p",14.0523758887231,1.46830093671313,0.250676635217854,5.85735058808765,4.70309610371592e-09,2.84925433856188e-08,2.84925433856188e-08
"104","mmu-miR-337-3p",145.887297848262,-1.98533973155457,0.340815960548816,-5.82525456952655,5.7025607037363e-09,3.38895036107757e-08,3.38895036107757e-08
"105","mmu-miR-485-3p",64.0452089890738,-2.38427565963242,0.40927235276613,-5.82564554756247,5.68922511098971e-09,3.38895036107757e-08,3.38895036107757e-08
"106","mmu-let-7j",13979.3754332734,-1.44176696869626,0.248889485681009,-5.79279982338873,6.92225960406257e-09,4.07499055937268e-08,4.07499055937268e-08
"107","mmu-miR-744-5p",2814.26608860803,-0.637569087175475,0.110207232526072,-5.78518371763528,7.24331233643904e-09,4.22413728779249e-08,4.22413728779249e-08
"108","mmu-miR-673-5p",426.739243381394,-2.45602148547054,0.425134167387488,-5.77705033816303,7.60215474454142e-09,4.39235607462393e-08,4.39235607462393e-08
"109","mmu-miR-1947-5p",181.468509610328,0.886665028510816,0.155591042295631,5.69868943242957,1.20731931706042e-08,6.91162618207066e-08,6.91162618207066e-08
"110","mmu-miR-485-5p",97.3074212986573,-1.92636852445711,0.338333335416745,-5.69370003722598,1.24315411681163e-08,7.05207426264052e-08,7.05207426264052e-08
"111","mmu-miR-136-5p",2797.92286406431,-1.43541941987791,0.252778388284615,-5.67856860556334,1.35826555255786e-08,7.63565499816313e-08,7.63565499816313e-08
"112","mmu-miR-299b-3p",304.076496789287,-2.77544875838187,0.490385719581991,-5.6597259005578,1.51614954709086e-08,8.44711890522051e-08,8.44711890522051e-08
"113","mmu-miR-6715-5p",9.303356693372,1.86415623745351,0.329956037925863,5.64971094080226,1.60717858757888e-08,8.87503928008158e-08,8.87503928008158e-08
"114","mmu-miR-152-3p",7631.44330253245,-0.644871379450387,0.114214297689529,-5.64615282408298,1.6407800573729e-08,8.98111189298849e-08,8.98111189298849e-08
