"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","p_val_fdr"
"53","mmu-miR-409-5p",994.627680098551,2.01403235347185,0.453620515113949,4.43990579430898,8.99982648872784e-06,0.0001045864757927,0.0001045864757927
"54","mmu-miR-673-5p",426.739243381394,1.70911214350269,0.384613252812318,4.44371620323936,8.84182182088435e-06,0.0001045864757927,0.0001045864757927
"55","mmu-miR-127-3p",96018.1321001776,1.60969321703309,0.364469506068717,4.41653743380551,1.00294538581652e-05,0.000113424005450522,0.000113424005450522
"56","mmu-miR-376c-3p",149.994742052304,1.55048966517957,0.353087029880343,4.39123936584421,1.12706380007551e-05,0.00012518458636553,0.00012518458636553
"57","mmu-miR-652-3p",4055.01506567044,-0.468981046132771,0.107215585808332,-4.37418722844235,1.21885737793589e-05,0.000133005138434407,0.000133005138434407
"58","mmu-miR-485-3p",64.0452089890738,1.61709724247133,0.370014502981077,4.37036178161382,1.24040850820268e-05,0.000133023119327943,0.000133023119327943
"59","mmu-miR-299a-3p",304.100450238581,1.95729236774166,0.448249288933398,4.3665264308595,1.26238018340721e-05,0.000133084826115133,0.000133084826115133
"60","mmu-miR-6236",197.834871972209,-2.66685180569032,0.61250241677454,-4.35402658447302,1.33659487384753e-05,0.000138560335255527,0.000138560335255527
"61","mmu-miR-299b-3p",304.076496789287,1.94277595019354,0.446827059463816,4.34793710238774,1.37423999458747e-05,0.000140127422398919,0.000140127422398919
"62","mmu-miR-674-3p",3056.99950772816,0.54156192588453,0.124698253983435,4.34297922051475,1.40563433764207e-05,0.000141016864195705,0.000141016864195705
"63","mmu-miR-376a-5p",93.9847419771096,1.57444818715984,0.363786718300161,4.32794301704209,1.50508394453032e-05,0.000148597176745692,0.000148597176745692
"64","mmu-miR-666-5p",119.125641796406,1.97493013449517,0.456785231804189,4.32354199958411,1.53543890775657e-05,0.000149225468847592,0.000149225468847592
"65","mmu-miR-542-5p",154.452128358092,-0.876484825634204,0.20307176753284,-4.31613333691234,1.58786087416024e-05,0.000151946071342718,0.000151946071342718
"66","mmu-miR-378a-5p",5478.62610008748,-0.981999920618092,0.228103733297216,-4.30505852062736,1.66941598967749e-05,0.000154981603817821,0.000154981603817821
"67","mmu-miR-379-5p",793.192479092178,1.30027242803447,0.301806466657969,4.30829876653384,1.64515061210303e-05,0.000154981603817821,0.000154981603817821
"68","mmu-miR-382-5p",120.513858793815,1.74479493233887,0.40690471337941,4.28796933279062,1.80313980213845e-05,0.000164934258372076,0.000164934258372076
"69","mmu-miR-134-3p",15.6207819704679,2.09623948379358,0.491902308308805,4.26149552133755,2.03063424375512e-05,0.000183051376755897,0.000183051376755897
"70","mmu-miR-466i-5p",1060.92724810168,-2.58301048314918,0.607577657044523,-4.25132565886948,2.12508900531586e-05,0.000188829337329495,0.000188829337329495
"71","mmu-miR-148a-5p",2194.268165275,1.30003032944993,0.30637981712371,4.24319833354102,2.20356522593765e-05,0.000193044728244115,0.000193044728244115
"72","mmu-miR-301a-5p",30.1120820981647,0.921787347363154,0.217967911301001,4.22900481938472,2.34727318338325e-05,0.000202778322231164,0.000202778322231164
"73","mmu-miR-135a-5p",228.653361862697,-1.48953449497182,0.35268136573524,-4.22345675073183,2.40583555042613e-05,0.000204990371556857,0.000204990371556857
"74","mmu-miR-3535",229.398056257487,-1.6231524262027,0.387521565778318,-4.18854734688811,2.80745742934686e-05,0.000235978178520777,0.000235978178520777
"75","mmu-miR-23b-5p",20.9416848825138,1.16060536752868,0.277966931033357,4.17533612078986,2.97546392060611e-05,0.000246765141148933,0.000246765141148933
"76","mmu-miR-126a-3p",214242.852941113,-1.04778065830845,0.251789308420577,-4.16133895788095,3.16387073314901e-05,0.000258937841581406,0.000258937841581406
"77","mmu-miR-664-5p",209.583131186958,0.535648318358394,0.129474849691332,4.13708391734285,3.51747494535315e-05,0.00028413888519606,0.00028413888519606
"78","mmu-miR-20a-5p",2734.9143619843,-0.85370894904473,0.206551984314872,-4.13314329502311,3.57835471444968e-05,0.000285350850306115,0.000285350850306115
"79","mmu-miR-144-3p",8112.25855917564,-1.24280955572498,0.302328242522446,-4.11079542339719,3.94298438101429e-05,0.000310447631011504,0.000310447631011504
"80","mmu-miR-378d",41852.7277417385,-1.74403546447656,0.424935161740674,-4.10423900279849,4.05647935180367e-05,0.000315391269602735,0.000315391269602735
"81","mmu-miR-208a-3p",29545.6416576266,-1.48718543391682,0.36358444840025,-4.09034390898826,4.307340174412e-05,0.000330761183763489,0.000330761183763489
"82","mmu-miR-136-3p",5780.68555508902,1.25447411101478,0.307230274027765,4.08317219058112,4.44250802920805e-05,0.000336980487093586,0.000336980487093586
"83","mmu-miR-337-5p",555.059639955922,1.51201089532642,0.371556827806075,4.06939337988852,4.71357039430557e-05,0.000353233829549164,0.000353233829549164
"84","mmu-miR-34c-5p",6738.82149299341,1.75345132181409,0.431394481033376,4.06461231866902,4.81123657650766e-05,0.00035626061316521,0.00035626061316521
"85","mmu-miR-338-3p",2424.90536043047,-0.815993233487048,0.201373599136935,-4.05213611408996,5.07521226279256e-05,0.000371386120877291,0.000371386120877291
"86","mmu-miR-29c-3p",16364.6440512457,-1.06569541122472,0.263614402301486,-4.04262969671104,5.28550592016235e-05,0.0003822772886443,0.0003822772886443
"87","mmu-miR-493-5p",24.1246474997937,2.03362775439554,0.5034192235578,4.03963070782904,5.35354269695357e-05,0.000382747535345416,0.000382747535345416
"88","mmu-miR-152-5p",1760.10046670209,1.19174333204432,0.295529878245116,4.03256462297825,5.51714365764546e-05,0.000389961744892668,0.000389961744892668
"89","mmu-miR-378c",154011.331243501,-1.69468207330657,0.42116687968761,-4.02377811513469,5.72718789171528e-05,0.00039704392008233,0.00039704392008233
"90","mmu-miR-382-3p",54.9760505541779,1.94676816604418,0.483903937078152,4.02304675965009,5.74500848993725e-05,0.00039704392008233,0.00039704392008233
"91","mmu-miR-5099",9167.18487492772,-2.07051980273426,0.517734390776976,-3.99919309904637,6.35588080332545e-05,0.000434434929633893,0.000434434929633893
"92","mmu-miR-34b-5p",257.294270875367,1.78954129084922,0.448374524541419,3.99117521826088,6.57466812033098e-05,0.000444504735961508,0.000444504735961508
"93","mmu-miR-5100",14.4277529209508,-1.4812220124837,0.371371565587284,-3.98851756499263,6.64874806859257e-05,0.000444679709533825,0.000444679709533825
"94","mmu-miR-30b-5p",71918.5234302334,-0.694785955784282,0.174600159618244,-3.97929736893369,6.91192426025606e-05,0.000452549146303081,0.000452549146303081
"95","mmu-miR-495-3p",33.9203832707368,2.12992855796973,0.535064815630912,3.98069261096575,6.87147601928886e-05,0.000452549146303081,0.000452549146303081
"96","mmu-let-7d-3p",7012.05899759826,-0.666753129708086,0.168079836282804,-3.9668835028268,7.28185630414603e-05,0.000462830165510987,0.000462830165510987
"97","mmu-miR-133a-5p",18290.7042252094,-2.10597117309077,0.532112911106317,-3.95775244151141,7.56583103428928e-05,0.000462830165510987,0.000462830165510987
"98","mmu-miR-15a-5p",14686.34772691,-0.431243455280348,0.108982534458451,-3.95699602164012,7.58981943442455e-05,0.000462830165510987,0.000462830165510987
"99","mmu-miR-194-5p",7184.40281705321,-0.805518664134937,0.202877212174234,-3.97047384229207,7.17298313832022e-05,0.000462830165510987,0.000462830165510987
"100","mmu-miR-499-5p",21975.5426436381,-1.71545392850171,0.432615142434496,-3.96531179849179,7.33000677588214e-05,0.000462830165510987,0.000462830165510987
"101","mmu-miR-874-3p",381.90582815873,-0.583529370256607,0.147418773025287,-3.95831113149011,7.54815930880446e-05,0.000462830165510987,0.000462830165510987
"102","mmu-miR-874-5p",131.697936918347,-0.752987698211974,0.190284365698593,-3.95717060331006,7.58427653716134e-05,0.000462830165510987,0.000462830165510987
"103","mmu-miR-1a-3p",193057.97697813,-1.13941123922324,0.288783341405068,-3.94555736379899,7.96145684697811e-05,0.00047752782359582,0.00047752782359582
"104","mmu-miR-29b-3p",5903.61432261966,-0.367949998790154,0.093273077740645,-3.94486820530652,7.98438804726129e-05,0.00047752782359582,0.00047752782359582
"105","mmu-miR-370-3p",52.1836394172287,2.02086397946358,0.513958793819836,3.93195719922243,8.4257069383771e-05,0.000499122830063863,0.000499122830063863
"106","mmu-miR-369-5p",196.613288829002,1.29115269366889,0.328579452523131,3.9294991934348,8.51229622000594e-05,0.000499495117815443,0.000499495117815443
"107","mmu-miR-150-3p",42.5746926200136,-0.935706459033957,0.239048692876894,-3.91429230493985,9.06697438236088e-05,0.000524324459995328,0.000524324459995328
"108","mmu-miR-485-5p",97.3074212986573,1.26453526580362,0.323137161201156,3.91330808596302,9.10402599348801e-05,0.000524324459995328,0.000524324459995328
"109","mmu-miR-411-3p",283.361746392047,1.96003572389521,0.502152342166782,3.90326910641833,9.49020833623022e-05,0.000541551338085798,0.000541551338085798
"110","mmu-miR-145b",143.298373242924,-0.682245816628522,0.175392024958898,-3.88983374123425,0.000100312924295082,0.000567223990104918,0.000567223990104918
"111","mmu-miR-181b-1-3p",58.1093241450053,0.623402577655787,0.161124501006873,3.86907375203721,0.000109249594538952,0.000612191421650706,0.000612191421650706
"112","mmu-miR-30e-5p",446318.976799104,-0.81032517471075,0.21015770388676,-3.85579571780713,0.000115353789520097,0.000640625509656253,0.000640625509656253
"113","mmu-miR-128-3p",6702.29427126722,-1.3507280625538,0.35109810777755,-3.84715278331719,0.000119498455484216,0.000657770259390993,0.000657770259390993
"114","mmu-miR-665-3p",39.1734987532756,1.91548603550496,0.499580242778079,3.83419092967583,0.000125978262564979,0.000687355081714184,0.000687355081714184
"115","mmu-miR-3098-3p",26.263065925947,-0.981020968945504,0.256722663188131,-3.82132592721895,0.000132736089722548,0.000717929111368913,0.000717929111368913
"116","mmu-miR-184-3p",198.409884247847,1.54494802742388,0.405042626296291,3.81428503353062,0.000136577761887024,0.000726080067467766,0.000726080067467766
"117","mmu-miR-455-5p",879.470388505215,1.37323812399398,0.359911866889764,3.81548442917717,0.000135916026960267,0.000726080067467766,0.000726080067467766
"118","mmu-miR-183-5p",190.885277605444,1.64209635387207,0.432195560396323,3.79942901858194,0.000145029842318992,0.000764479338325532,0.000764479338325532
