"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"mir-7052-3p",0.399749334651574,5.74492118749247,1.9564882304388,0.0710690981682934,0.448263661590555,-5.2704748377093
"mir-30d-5p",0.485780269034882,5.32361717347651,1.84744000745718,0.0863479075713909,0.448263661590555,-5.31636162380701
"mir-598-3p",-0.372213186429483,5.6842790548082,-1.84141477119437,0.0872725712831169,0.448263661590555,-5.43964295643253
"mir-6516-5p",-0.356599735210159,5.88557541528644,-1.86762277480519,0.0833142944049227,0.448263661590555,-5.46108339211592
"mir-182-5p",0.377149059940026,8.5323869480299,2.21494799821928,0.0442123929266203,0.344551751772972,-5.5013808511239
"mir-345-3p",-0.255479435762767,10.5274835160622,-2.29076594834729,0.0383513019089426,0.325056204710216,-5.5509460962988
"mir-32-3p",-0.452773961382172,4.91976163892315,-1.6156408232846,0.128916824686836,0.511143901389911,-5.55367261123182
"mir-34b-5p",-0.328360231311096,5.37759697036823,-1.6933448765414,0.11295185042274,0.511143901389911,-5.57180504651455
"mir-434-3p",-0.252855427378378,11.3494297461479,-2.28412112394133,0.0388341483503356,0.325056204710216,-5.58920587637441
"mir-6538-5p",0.737414722376178,4.63069788966851,1.53562021246946,0.147357679932258,0.527406740483122,-5.60014997800167
"mir-30b-3p",0.252006942228633,8.56136658334033,2.16025930885694,0.0489507203941107,0.356866542228033,-5.60314547683855
"mir-31-3p",0.578984048109498,5.02283154774264,1.56899254224342,0.139409740578722,0.517323444112343,-5.64549137523307
"mir-1948-3p",-0.352368157337499,5.0496080892877,-1.57384135071095,0.138285996033987,0.517323444112343,-5.64969179568677
"mir-5621-3p",0.436072699424428,4.8605611232602,1.49963863581189,0.156355095629952,0.527406740483122,-5.69834343880166
"mir-329-5p",-0.364665911564356,5.64499620345119,-1.65981860641875,0.119615459985319,0.511143901389911,-5.7032245710216
"mir-488-3p",-0.343915287273617,8.21933831888216,-2.03193466670765,0.0619845678452278,0.437766010406921,-5.75984345350608
"mir-100-3p",-0.554268697169161,4.94975885932889,-1.46098606416465,0.166531976335815,0.545452560172381,-5.77564261386935
"mir-128-1-5p",-0.402383881827574,5.77464715479801,-1.62761562004744,0.126335730043294,0.511143901389911,-5.79122766610987
"mir-879-5p",0.464103763100223,4.82849412514946,1.41827899460154,0.178414057094811,0.56790953385109,-5.79841902007446
"mir-429-3p",0.359684401824657,7.39530256379053,1.87006875413327,0.0829532354888631,0.448263661590555,-5.87719133803929
"mir-6948-3p",-0.393611201401898,4.65119993720832,-1.30518401509441,0.213287461812929,0.611351053745961,-5.900206683315
"mir-425-3p",-0.216451314749929,7.54589316551849,-1.85677513797735,0.0849326479982395,0.448263661590555,-5.92893670779991
"mir-511-5p",-0.313396359147982,6.43012919053717,-1.61905045986606,0.128177298866211,0.511143901389911,-6.00289871897145
"mir-1199-5p",0.38049329125835,6.21776904402068,1.57093861590805,0.138957789238174,0.517323444112343,-6.00614800944042
"mir-201-5p",0.227175173051666,7.51056942326926,1.77881774172833,0.0974162315647309,0.489245962969538,-6.04460456411406
"mir-5709-5p",0.230626363982763,6.75147832551046,1.64069318615893,0.123568150659754,0.511143901389911,-6.06574015539377
"mir-107-5p",-0.624324537219615,4.66392718189986,-1.16688623388704,0.263130461181317,0.651704448509633,-6.06729359708854
"mir-339-3p",0.146830478086086,9.910687157125,1.97277804310987,0.0690104799713514,0.448263661590555,-6.07449598111931
"mir-218-1-3p",0.429795309559586,5.26070797345712,1.29504879753851,0.216664289811691,0.612076618718026,-6.07656779686681
"mir-21a-3p",-0.307401251327061,9.06863912244344,-1.9194065627463,0.0759652585270788,0.448263661590555,-6.08614337972457
"mir-3572-3p",-0.379729392113514,4.51111715357584,-1.09936448937953,0.290518812140591,0.673664186404391,-6.10579884041358
"mir-324-3p",0.312070054298329,5.03097330386469,1.19842018076546,0.251037474448608,0.651704448509633,-6.1259558737858
"mir-6988-3p",0.320815398667822,5.2183746461818,1.23791583014894,0.236505123421024,0.636311403489898,-6.13422036343538
"mir-101a-5p",-0.195778572554651,7.51825033180905,-1.71441922816184,0.108931508151213,0.511143901389911,-6.14455735675116
"mir-483-3p",0.25667881271685,4.80550465713937,1.12399523643197,0.28028961683648,0.673664186404391,-6.14771295526663
"mir-664-5p",-0.204529639765984,7.96042923472438,-1.71959112426841,0.107964289171623,0.511143901389911,-6.21287351518496
"mir-6899-3p",-0.320612186310264,4.78373481668973,-1.00606190624535,0.331793748188539,0.742429575154553,-6.26531426885737
"mir-187-3p",0.284257897404452,5.20175976545503,1.11058014797851,0.285826740193137,0.673664186404391,-6.27381731992274
"mir-7224-3p",0.302303401693773,6.88720137529904,1.51521600084794,0.152404436099353,0.527406740483122,-6.28310337063103
"mir-466g-3p",-0.285600290279797,4.68812264752494,-0.9093805452631,0.378841525613691,0.760844054439184,-6.33298054735965
"mir-5126-3p",0.3348212085425,4.72877096095156,0.900303540426736,0.383483591970219,0.760844054439184,-6.34892651841722
"mir-341-3p",-0.241108773875596,6.53453277175738,-1.37168823284468,0.19216763130063,0.586890333431653,-6.37394568173786
"mir-467c-5p",-0.243614765831205,5.08999497115819,-0.953746925501755,0.356707918183556,0.760528202919657,-6.40191816031613
"mir-8114-3p",-0.212686685005841,7.21671274904444,-1.48790519815242,0.159387592625206,0.529729351960243,-6.41167044767375
"mir-8103-3p",0.230586765824611,4.91791799777717,0.886438689244482,0.390648687223266,0.765468553855796,-6.41432479747809
"mir-195a-5p",-0.201040227788807,8.66502232244157,-1.66530210610382,0.118502663390847,0.511143901389911,-6.42132117890219
"mir-3473d-5p",-0.192586365972911,5.90519025079479,-1.17696316145688,0.259218270721733,0.651704448509633,-6.4218057031298
"mir-34b-3p",-0.319519803633814,4.60965107445065,-0.76059487163075,0.459766681817211,0.79650823032254,-6.43882303525006
"mir-3087-3p",0.220285857767155,5.02982613530398,0.882126730588759,0.392895363925984,0.765468553855796,-6.44960304908411
"mir-450b-3p",0.249322968234163,4.9352811639026,0.845460355821439,0.41235052047039,0.786862294216093,-6.45448464360809
"mir-667-3p",-0.266281874846555,5.24040660270566,-0.902909957963645,0.38214669476604,0.760844054439184,-6.49288169396008
"mir-6911-3p",0.212708484246919,6.18765558164235,1.17401019057841,0.260360044056056,0.651704448509633,-6.51074785158095
"mir-3068-5p",-0.202376054071136,6.61490674918877,-1.2622226634089,0.227895311918184,0.631706252931034,-6.53516013994354
"mir-380-3p",0.235046271816712,5.50255266349232,0.914269362438604,0.376357335213498,0.760844054439184,-6.56148082398186
"let-7k-5p",0.185244578599114,6.39178326384299,1.16626526820254,0.263373015290242,0.651704448509633,-6.58024533766025
"mir-378a-3p",-0.093795709515291,18.7897740002736,-2.18875227007383,0.0464258146168962,0.349741136780618,-6.58281437890843
"mir-674-3p",0.156430907739455,10.5609079420428,1.6628610266408,0.1189969262922,0.511143901389911,-6.58290883583668
"mir-6929-3p",0.181084024077654,4.86746803855922,0.632052651838981,0.537738962437661,0.819705341070454,-6.59691566734426
"mir-542-5p",0.256517966025179,7.02613235638914,1.30393183923767,0.213702359495269,0.611351053745961,-6.60141007834781
"mir-1843b-5p",-0.142151125400456,11.055138280824,-1.65551564500544,0.120495043563419,0.511143901389911,-6.60800799237749
"mir-191-3p",0.134632361597788,8.69951531874873,1.52708259902534,0.149451841257249,0.527406740483122,-6.6257980569194
